10000,3
20000,10
30000,3
40000,11
50000,15
60000,6
70000,16
80000,14
90000,22
100000,19
110000,28
120000,24
130000,22
140000,59
150000,19
160000,17
170000,16
180000,18
190000,23
200000,42
210000,25
220000,44
230000,24
240000,22
250000,23
260000,25
270000,28
280000,33
290000,27
300000,47
310000,29
320000,29
330000,31
340000,33
350000,31
360000,33
370000,35
380000,53
390000,38
400000,54
410000,39
420000,38
430000,40
440000,41
450000,43
460000,42
470000,47
480000,47
490000,51
500000,72
510000,50
520000,49
530000,49
540000,54
550000,52
560000,52
570000,53
580000,66
590000,71
600000,76
610000,70
620000,63
630000,59
640000,62
650000,63
660000,71
670000,77
680000,63
690000,63
700000,83
710000,65
720000,71
730000,178
740000,68
750000,68
760000,71
770000,73
780000,74
790000,71
800000,109
810000,73
820000,176
830000,76
840000,77
850000,90
860000,79
870000,80
880000,84
890000,86
900000,118
910000,93
920000,86
930000,86
940000,92
950000,85
960000,99
970000,88
980000,91
990000,105
1000000,157
1010000,120
1020000,95
1030000,170
1040000,99
1050000,97
1060000,108
1070000,107
1080000,103
1090000,107
1100000,162
1110000,155
1120000,103
1130000,102
1140000,115
1150000,109
1160000,106
1170000,107
1180000,113
1190000,118
1200000,140
1210000,111
1220000,113
1230000,128
1240000,118
1250000,115
1260000,115
1270000,121
1280000,140
1290000,126
1300000,142
1310000,135
1320000,124
1330000,121
1340000,125
1350000,128
1360000,136
1370000,154
1380000,143
1390000,144
1400000,151
1410000,130
1420000,132
1430000,146
1440000,134
1450000,152
1460000,151
1470000,135
1480000,136
1490000,362
1500000,183
1510000,146
1520000,159
1530000,145
1540000,226
1550000,157
1560000,154
1570000,151
1580000,161
1590000,151
1600000,187
1610000,178
1620000,299
1630000,156
1640000,172
1650000,360
1660000,182
1670000,163
1680000,184
1690000,178
1700000,209
1710000,180
1720000,171
1730000,163
1740000,180
1750000,168
1760000,165
1770000,195
1780000,171
1790000,168
1800000,206
1810000,168
1820000,174
1830000,190
1840000,172
1850000,180
1860000,231
1870000,201
1880000,194
1890000,183
1900000,205
1910000,292
1920000,185
1930000,206
1940000,187
1950000,189
1960000,213
1970000,202
1980000,192
1990000,204
2000000,230
2010000,206
2020000,246
2030000,205
2040000,199
2050000,199
2060000,290
2070000,322
2080000,221
2090000,197
2100000,265
2110000,252
2120000,215
2130000,202
2140000,199
2150000,228
2160000,202
2170000,219
2180000,212
2190000,206
2200000,270
2210000,215
2220000,225
2230000,210
2240000,236
2250000,218
2260000,231
2270000,224
2280000,220
2290000,336
2300000,279
2310000,214
2320000,228
2330000,238
2340000,230
2350000,460
2360000,252
2370000,315
2380000,255
2390000,242
2400000,278
2410000,234
2420000,254
2430000,224
2440000,220
2450000,223
2460000,299
2470000,239
2480000,229
2490000,237
2500000,263
2510000,249
2520000,274
2530000,237
2540000,293
2550000,255
2560000,238
2570000,245
2580000,242
2590000,258
2600000,269
2610000,260
2620000,251
2630000,265
2640000,250
2650000,258
2660000,361
2670000,322
2680000,271
2690000,259
2700000,318
2710000,274
2720000,271
2730000,265
2740000,274
2750000,268
2760000,278
2770000,269
